ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Expériences,Compétences,Date_Ajout,Dernière_Mise_A_Jour
39,Robert,Sophie,sophie.robert@mail.com,7053266293,Belgique,2026-11-23,Master,"Espagnol (A2), Néerlandais (B2), Français (C1)","Paul, 10 ans, clinique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Intermédiaire, Representative Services: Intermédiaire",2024-01-02,2024-07-01
40,Simon,Sophie,sophie.simon@mail.com,3412070575,Luxembourg,2025-08-20,Doctorat,"Néerlandais (B2), Français (C1)","Pierre, 9 ans, qualité","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Intermédiaire, Representative Services: Avancé",2024-04-14,2024-02-26
41,Petit,Lucie,lucie.petit@mail.com,6763950739,Belgique,2026-07-19,Master,"Néerlandais (B2), Espagnol (A2), Allemand (B1)","Marie, 3 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Intermédiaire",2024-10-05,2024-08-01
42,Richard,Jean,jean.richard@mail.com,1187815570,Luxembourg,2024-08-01,Licence,"Allemand (B1), Espagnol (A2), Néerlandais (B2)","Pierre, 1 ans, clinique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Intermédiaire",2024-02-25,2024-07-21
43,Martin,Marie,marie.martin@mail.com,2553883140,Suisse,2025-01-27,Master,Français (C1),"Lucie, 2 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Débutant",2024-04-01,2024-02-16
44,Dupont,Jacques,jacques.dupont@mail.com,1786530868,Luxembourg,2024-04-28,Doctorat,"Allemand (B1), Espagnol (A2), Néerlandais (B2)","Jacques, 1 ans, qualité","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Avancé",2024-06-19,2024-03-02
45,Leroy,Paul,paul.leroy@mail.com,6514929947,Belgique,2026-11-27,Doctorat,Allemand (B1),"Sophie, 7 ans, clinique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Avancé, Representative Services: Intermédiaire",2024-05-07,2024-02-25
46,Leroy,Paul,paul.leroy@mail.com,6686351678,Belgique,2026-04-03,Licence,"Anglais (B2), Néerlandais (B2)","Paul, 3 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Avancé",2024-04-27,2024-10-22
47,Richard,Julie,julie.richard@mail.com,5785124626,Belgique,2025-02-11,Licence,"Français (C1), Néerlandais (B2), Anglais (B2)","Marie, 4 ans, clinique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Débutant",2024-06-02,2024-09-24
48,Petit,Lucie,lucie.petit@mail.com,6207573877,Luxembourg,2026-12-14,Master,"Français (C1), Allemand (B1)","Paul, 10 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Débutant, Representative Services: Intermédiaire",2024-02-15,2024-04-25
49,Durand,Sophie,sophie.durand@mail.com,9655958305,France,2025-03-14,Licence,"Français (C1), Néerlandais (B2), Allemand (B1)","Louise, 7 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Débutant",2024-01-20,2024-03-02
50,Bernard,Jacques,jacques.bernard@mail.com,2375524085,Luxembourg,2025-10-23,Licence,"Français (C1), Allemand (B1), Espagnol (A2)","Marie, 1 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Avancé",2024-01-09,2024-06-26
51,Petit,Paul,paul.petit@mail.com,8506708561,Belgique,2025-04-11,Master,"Allemand (B1), Français (C1), Anglais (B2)","Marc, 2 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Intermédiaire, Representative Services: Débutant",2024-03-06,2024-06-12
52,Richard,Julie,julie.richard@mail.com,2084711268,Luxembourg,2025-06-15,Master,"Allemand (B1), Néerlandais (B2)","Paul, 6 ans, clinique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Avancé",2024-09-08,2024-08-19
53,Petit,Sophie,sophie.petit@mail.com,1444569495,Luxembourg,2024-03-07,Doctorat,Néerlandais (B2),"Louise, 2 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Débutant",2024-02-26,2024-05-01
54,Simon,Lucie,lucie.simon@mail.com,5037058862,Belgique,2026-12-25,Licence,Français (C1),"Marie, 8 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Avancé",2024-08-08,2024-07-09
55,Durand,Marie,marie.durand@mail.com,9347303750,Suisse,2024-09-04,Doctorat,"Français (C1), Espagnol (A2), Anglais (B2)","Julie, 5 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Débutant",2024-06-26,2024-03-19
56,Moreau,Marie,marie.moreau@mail.com,4621250522,France,2024-10-11,Master,"Français (C1), Anglais (B2)","Sophie, 1 ans, clinique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Débutant",2024-06-20,2024-08-11
57,Bernard,Pierre,pierre.bernard@mail.com,4816168750,France,2024-07-27,Licence,Espagnol (A2),"Jacques, 2 ans, clinique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Débutant",2024-02-17,2024-08-05
58,Richard,Paul,paul.richard@mail.com,3281342380,Suisse,2025-08-16,Licence,"Néerlandais (B2), Anglais (B2)","Jacques, 10 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Avancé",2024-06-23,2024-01-14
59,Martin,Lucie,lucie.martin@mail.com,3836356650,Luxembourg,2024-09-17,Doctorat,Français (C1),"Paul, 8 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Avancé, Engineering: Avancé, Representative Services: Intermédiaire",2024-05-26,2024-08-06
60,Bernard,Paul,paul.bernard@mail.com,1410808104,Belgique,2025-03-14,Doctorat,Espagnol (A2),"Marc, 10 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Avancé, Representative Services: Avancé",2024-09-18,2024-09-04
61,Robert,Julie,julie.robert@mail.com,7659420699,Luxembourg,2026-07-24,Doctorat,Espagnol (A2),"Jean, 3 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Débutant",2024-05-04,2024-09-18
62,Moreau,Lucie,lucie.moreau@mail.com,7812772315,Suisse,2025-05-04,Doctorat,"Anglais (B2), Français (C1)","Louise, 8 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Débutant",2024-06-25,2024-10-15
63,Moreau,Louise,louise.moreau@mail.com,3087288793,Luxembourg,2024-09-14,Doctorat,Français (C1),"Sophie, 7 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Intermédiaire, Representative Services: Débutant",2024-02-24,2024-05-07
64,Richard,Marie,marie.richard@mail.com,6319279765,France,2025-03-28,Master,"Espagnol (A2), Français (C1)","Marc, 1 ans, pharmaceutique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Intermédiaire",2024-10-12,2024-02-22
65,Bernard,Marc,marc.bernard@mail.com,9616382984,Suisse,2024-04-07,Master,"Néerlandais (B2), Espagnol (A2)","Julie, 3 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Débutant",2024-02-24,2024-07-26
66,Richard,Paul,paul.richard@mail.com,3643153757,Suisse,2026-04-01,Master,"Allemand (B1), Espagnol (A2), Français (C1)","Louise, 1 ans, clinique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Intermédiaire, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Intermédiaire",2024-07-26,2024-05-18
67,Leroy,Marie,marie.leroy@mail.com,3647042331,Suisse,2024-01-07,Doctorat,"Allemand (B1), Néerlandais (B2)","Sophie, 2 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Avancé, Representative Services: Débutant",2024-06-23,2024-05-03
68,Bernard,Marc,marc.bernard@mail.com,1501896611,France,2025-06-03,Master,"Anglais (B2), Espagnol (A2), Allemand (B1)","Louise, 6 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Débutant",2024-10-21,2024-09-13
69,Dupont,Marc,marc.dupont@mail.com,2447683853,Canada,2026-08-20,Master,"Allemand (B1), Espagnol (A2), Néerlandais (B2)","Marc, 5 ans, clinique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Intermédiaire",2024-03-18,2024-08-25
70,Dupont,Marc,marc.dupont@mail.com,3331609170,Suisse,2025-11-18,Doctorat,"Espagnol (A2), Néerlandais (B2)","Marie, 1 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Débutant, Engineering: Avancé, Representative Services: Débutant",2024-10-22,2024-10-14
71,Martin,Marie,marie.martin@mail.com,3127619750,Canada,2026-11-25,Master,"Néerlandais (B2), Allemand (B1), Français (C1)","Jacques, 2 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Avancé",2024-10-20,2024-01-28
72,Bernard,Paul,paul.bernard@mail.com,3403681105,Suisse,2025-10-07,Master,Anglais (B2),"Sophie, 4 ans, clinique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Avancé",2024-01-02,2024-05-07
73,Bernard,Jean,jean.bernard@mail.com,3177792466,Suisse,2026-09-10,Licence,Néerlandais (B2),"Paul, 4 ans, clinique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Débutant, Representative Services: Intermédiaire",2024-08-11,2024-03-27
74,Petit,Marc,marc.petit@mail.com,3513605111,Canada,2026-11-27,Licence,"Français (C1), Néerlandais (B2)","Sophie, 4 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Avancé",2024-05-18,2024-09-01
75,Martin,Pierre,pierre.martin@mail.com,9196725358,Canada,2026-03-16,Master,"Allemand (B1), Français (C1)","Paul, 8 ans, clinique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Intermédiaire",2024-06-17,2024-02-24
76,Durand,Julie,julie.durand@mail.com,8030688171,France,2026-12-22,Doctorat,Français (C1),"Sophie, 1 ans, qualité","Regulatory Affairs: Débutant, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Avancé",2024-01-18,2024-09-23
77,Robert,Paul,paul.robert@mail.com,3619790621,France,2026-03-28,Master,"Espagnol (A2), Allemand (B1), Français (C1)","Sophie, 4 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Avancé, Representative Services: Débutant",2024-04-18,2024-07-05
78,Leroy,Pierre,pierre.leroy@mail.com,4261575238,Belgique,2024-07-28,Doctorat,Français (C1),"Jean, 5 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Débutant",2024-02-22,2024-07-05
79,Robert,Pierre,pierre.robert@mail.com,6875828508,Luxembourg,2025-11-25,Doctorat,Espagnol (A2),"Sophie, 6 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Intermédiaire",2024-10-16,2024-08-02
