ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Compétences,Expériences,Date_Ajout,Dernière_Mise_A_Jour
15,Richard,Pierre,pierre.richard@mail.com,5208020657,Belgique,2024-04-11,Master,"Allemand (B1), Néerlandais (B2)",Spécialiste en audits avec des compétences Débutant et une bonne maîtrise des audits. Expérience Débutant en audits et Avancé en systèmes de qualité.,"6 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-04-17,2024-10-02
16,Martin,Paul,paul.martin@mail.com,2015530116,Belgique,2026-04-27,Licence,"Néerlandais (B2), Français (C1)","Solide expérience en audits, avec un niveau Intermédiaire. Compétences Débutant dans les domaines de services de représentation et domaines cliniques et post-marché, ainsi qu'une bonne maîtrise de affaires réglementaires.","Auditeur principal pendant 4 ans chez Richard PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-07-28,2024-04-16
17,Simon,Pierre,pierre.simon@mail.com,8608546531,Canada,2025-06-22,Doctorat,"Anglais (B2), Français (C1)",Spécialiste en systèmes de qualité avec des compétences Avancé et une bonne maîtrise des audits. Expérience Intermédiaire en affaires réglementaires et Intermédiaire en ingénierie.,"7 ans chez Moreau PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-09-03,2024-08-06
18,Petit,Marie,marie.petit@mail.com,9575616667,France,2026-04-16,Licence,"Allemand (B1), Néerlandais (B2)",Expertise en systèmes de qualité avec un niveau Avancé. Expérience Débutant en ingénierie et compétences Débutant en services de représentation. Bonne maîtrise de systèmes de qualité avec un niveau Débutant.,"Auditeur principal pendant 10 ans chez Leroy PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-04-09,2024-06-15
19,Durand,Louise,louise.durand@mail.com,6013397110,Belgique,2024-02-11,Licence,Espagnol (A2),"Niveau Débutant en affaires réglementaires, avec une bonne expertise en domaines cliniques et post-marché et compétences Avancé en domaines cliniques et post-marché. Connaissances avancées en affaires réglementaires.","9 ans d'expérience chez Robert PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-05-16,2024-07-23
20,Robert,Paul,paul.robert@mail.com,1160858200,Belgique,2026-01-06,Licence,"Allemand (B1), Anglais (B2), Français (C1)",Spécialiste en domaines cliniques et post-marché avec des compétences Avancé et une bonne maîtrise des audits. Expérience Débutant en audits et Avancé en systèmes de qualité.,"10 ans d'expérience chez Durand PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-01-20,2024-04-11
21,Martin,Marc,marc.martin@mail.com,3385335956,Belgique,2026-08-13,Doctorat,"Allemand (B1), Espagnol (A2), Néerlandais (B2)",Expertise en audits avec un niveau Avancé. Expérience Intermédiaire en ingénierie et compétences Débutant en ingénierie. Bonne maîtrise de systèmes de qualité avec un niveau Intermédiaire.,"5 ans d'expérience chez Richard PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-06-13,2024-06-23
22,Dupont,Marie,marie.dupont@mail.com,9575872304,France,2026-05-24,Doctorat,Espagnol (A2),"Niveau Débutant en systèmes de qualité, avec une bonne expertise en domaines cliniques et post-marché et compétences Avancé en audits. Connaissances avancées en services de représentation.","5 ans chez Bernard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-04-16,2024-09-10
23,Bernard,Louise,louise.bernard@mail.com,3140181536,Suisse,2026-03-15,Master,Espagnol (A2),"Solide expérience en services de représentation, avec un niveau Avancé. Compétences Débutant dans les domaines de services de représentation et services de représentation, ainsi qu'une bonne maîtrise de services de représentation.","3 ans d'expérience chez Durand PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-07-02,2024-05-23
24,Simon,Marc,marc.simon@mail.com,6717407271,Canada,2026-07-25,Master,"Allemand (B1), Anglais (B2), Néerlandais (B2)","Niveau Débutant en domaines cliniques et post-marché, avec une bonne expertise en systèmes de qualité et compétences Intermédiaire en services de représentation. Connaissances avancées en ingénierie.","Auditeur principal pendant 3 ans chez Leroy PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-02-03,2024-09-09
25,Simon,Louise,louise.simon@mail.com,9912221583,Canada,2024-11-27,Licence,"Allemand (B1), Français (C1)","Solide expérience en domaines cliniques et post-marché, avec un niveau Intermédiaire. Compétences Débutant dans les domaines de audits et affaires réglementaires, ainsi qu'une bonne maîtrise de domaines cliniques et post-marché.",Expérience de 8 ans en tant que auditeur principal chez Petit PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-07-02,2024-03-21
26,Moreau,Marie,marie.moreau@mail.com,5373155494,Canada,2024-10-09,Master,"Espagnol (A2), Allemand (B1)","Solide expérience en audits, avec un niveau Intermédiaire. Compétences Intermédiaire dans les domaines de audits et systèmes de qualité, ainsi qu'une bonne maîtrise de domaines cliniques et post-marché.",Expérience de 9 ans en tant que auditeur principal chez Durand PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-08-26,2024-08-09
27,Richard,Sophie,sophie.richard@mail.com,5813766236,Suisse,2025-09-09,Doctorat,"Néerlandais (B2), Allemand (B1), Français (C1)",Spécialiste en audits avec des compétences Avancé et une bonne maîtrise des audits. Expérience Avancé en systèmes de qualité et Débutant en services de représentation.,"3 ans d'expérience chez Petit PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-05-16,2024-10-22
28,Petit,Louise,louise.petit@mail.com,5795042864,Luxembourg,2025-08-03,Licence,"Allemand (B1), Espagnol (A2), Français (C1)",Spécialiste en ingénierie avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en systèmes de qualité et Intermédiaire en audits.,"4 ans chez Durand PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-05-15,2024-03-12
29,Petit,Sophie,sophie.petit@mail.com,4316500103,Suisse,2026-08-20,Licence,"Espagnol (A2), Français (C1), Allemand (B1)","Niveau Avancé en systèmes de qualité, avec une bonne expertise en ingénierie et compétences Intermédiaire en affaires réglementaires. Connaissances avancées en systèmes de qualité.","Auditeur principal pendant 6 ans chez Leroy PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-09-12,2024-01-01
30,Simon,Pierre,pierre.simon@mail.com,1848922536,Belgique,2024-03-10,Master,Anglais (B2),Spécialiste en affaires réglementaires avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Intermédiaire en ingénierie et Débutant en systèmes de qualité.,"8 ans chez Bernard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-04-09,2024-08-27
31,Moreau,Marc,marc.moreau@mail.com,9052757570,Luxembourg,2024-09-03,Master,Néerlandais (B2),"Solide expérience en ingénierie, avec un niveau Débutant. Compétences Avancé dans les domaines de affaires réglementaires et affaires réglementaires, ainsi qu'une bonne maîtrise de systèmes de qualité.",Expérience de 3 ans en tant que auditeur principal chez Richard PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-07-09,2024-08-19
32,Dupont,Paul,paul.dupont@mail.com,1357421392,Canada,2026-06-22,Doctorat,Français (C1),Expertise en affaires réglementaires avec un niveau Avancé. Expérience Intermédiaire en systèmes de qualité et compétences Avancé en affaires réglementaires. Bonne maîtrise de affaires réglementaires avec un niveau Débutant.,"8 ans d'expérience chez Moreau PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-03-15,2024-09-23
33,Bernard,Julie,julie.bernard@mail.com,5874597480,Canada,2024-05-27,Master,"Néerlandais (B2), Français (C1)","Niveau Débutant en systèmes de qualité, avec une bonne expertise en services de représentation et compétences Avancé en ingénierie. Connaissances avancées en audits.","Auditeur principal pendant 5 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-06-01,2024-07-09
34,Durand,Pierre,pierre.durand@mail.com,1636061300,Luxembourg,2026-03-15,Master,"Anglais (B2), Allemand (B1), Espagnol (A2)","Solide expérience en systèmes de qualité, avec un niveau Intermédiaire. Compétences Avancé dans les domaines de affaires réglementaires et ingénierie, ainsi qu'une bonne maîtrise de audits.",Expérience de 4 ans en tant que auditeur principal chez Durand PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-05-06,2024-05-16
35,Robert,Julie,julie.robert@mail.com,7928353530,Luxembourg,2026-04-16,Master,"Néerlandais (B2), Allemand (B1), Anglais (B2)","Niveau Intermédiaire en domaines cliniques et post-marché, avec une bonne expertise en ingénierie et compétences Intermédiaire en systèmes de qualité. Connaissances avancées en services de représentation.","7 ans chez Durand PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-07-03,2024-01-06
36,Petit,Sophie,sophie.petit@mail.com,8452499232,Belgique,2026-04-03,Doctorat,Anglais (B2),"Niveau Intermédiaire en affaires réglementaires, avec une bonne expertise en ingénierie et compétences Intermédiaire en audits. Connaissances avancées en audits.","7 ans chez Robert PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-09-14,2024-04-14
37,Durand,Julie,julie.durand@mail.com,8226329611,Suisse,2026-04-13,Master,"Néerlandais (B2), Anglais (B2)",Spécialiste en services de représentation avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Intermédiaire en domaines cliniques et post-marché et Avancé en services de représentation.,"4 ans chez Leroy PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-02-11,2024-02-21
38,Moreau,Louise,louise.moreau@mail.com,9927676851,Luxembourg,2024-04-12,Master,"Français (C1), Espagnol (A2), Néerlandais (B2)",Spécialiste en services de représentation avec des compétences Avancé et une bonne maîtrise des audits. Expérience Débutant en ingénierie et Débutant en audits.,"4 ans d'expérience chez Martin PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-07-02,2024-02-26
39,Simon,Pierre,pierre.simon@mail.com,2355316772,France,2024-12-26,Doctorat,"Espagnol (A2), Allemand (B1), Anglais (B2)","Solide expérience en systèmes de qualité, avec un niveau Intermédiaire. Compétences Intermédiaire dans les domaines de systèmes de qualité et ingénierie, ainsi qu'une bonne maîtrise de ingénierie.","9 ans d'expérience chez Bernard PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-06-09,2024-10-05
40,Robert,Marie,marie.robert@mail.com,1166087471,Belgique,2024-08-24,Doctorat,"Français (C1), Allemand (B1)",Spécialiste en ingénierie avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en ingénierie et Intermédiaire en services de représentation.,Expérience de 4 ans en tant que auditeur principal chez Robert PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-09-06,2024-01-03
41,Leroy,Marc,marc.leroy@mail.com,5897944732,Luxembourg,2025-05-25,Licence,"Néerlandais (B2), Allemand (B1)",Spécialiste en domaines cliniques et post-marché avec des compétences Débutant et une bonne maîtrise des audits. Expérience Débutant en affaires réglementaires et Avancé en affaires réglementaires.,Expérience de 3 ans en tant que auditeur principal chez Robert PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-10-10,2024-09-25
42,Martin,Sophie,sophie.martin@mail.com,2993343586,Luxembourg,2026-06-28,Master,"Français (C1), Espagnol (A2)","Solide expérience en domaines cliniques et post-marché, avec un niveau Intermédiaire. Compétences Avancé dans les domaines de systèmes de qualité et ingénierie, ainsi qu'une bonne maîtrise de audits.","7 ans d'expérience chez Martin PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-08-20,2024-04-26
43,Leroy,Jean,jean.leroy@mail.com,1483571184,France,2024-04-23,Master,"Néerlandais (B2), Espagnol (A2)","Niveau Intermédiaire en audits, avec une bonne expertise en affaires réglementaires et compétences Avancé en audits. Connaissances avancées en systèmes de qualité.","3 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur réglementaire, supervisant des équipes et coordonnant des initiatives internationales.",2024-08-08,2024-03-14
44,Dupont,Paul,paul.dupont@mail.com,6351660676,Belgique,2026-07-28,Master,Français (C1),"Solide expérience en domaines cliniques et post-marché, avec un niveau Débutant. Compétences Débutant dans les domaines de audits et domaines cliniques et post-marché, ainsi qu'une bonne maîtrise de affaires réglementaires.","Auditeur principal pendant 8 ans chez Durand PharmaCorp, où il a dirigé des projets liés à réglementaire, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-03-20,2024-01-01
45,Dupont,Lucie,lucie.dupont@mail.com,6778821758,Suisse,2026-03-10,Master,"Français (C1), Espagnol (A2)",Spécialiste en domaines cliniques et post-marché avec des compétences Avancé et une bonne maîtrise des audits. Expérience Avancé en services de représentation et Intermédiaire en audits.,Expérience de 6 ans en tant que auditeur principal chez Durand PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-09-08,2024-08-08
46,Dupont,Lucie,lucie.dupont@mail.com,3981105424,Luxembourg,2026-04-22,Licence,"Néerlandais (B2), Allemand (B1), Anglais (B2)","Niveau Débutant en services de représentation, avec une bonne expertise en ingénierie et compétences Intermédiaire en services de représentation. Connaissances avancées en systèmes de qualité.","3 ans d'expérience chez Durand PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-10-01,2024-09-18
47,Moreau,Sophie,sophie.moreau@mail.com,5068062080,Canada,2025-09-20,Master,Allemand (B1),Expertise en affaires réglementaires avec un niveau Avancé. Expérience Débutant en affaires réglementaires et compétences Avancé en domaines cliniques et post-marché. Bonne maîtrise de affaires réglementaires avec un niveau Intermédiaire.,"Auditeur principal pendant 7 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-08-21,2024-08-10
48,Petit,Julie,julie.petit@mail.com,9534555729,Belgique,2024-11-28,Doctorat,"Espagnol (A2), Français (C1)",Expertise en services de représentation avec un niveau Débutant. Expérience Intermédiaire en systèmes de qualité et compétences Intermédiaire en systèmes de qualité. Bonne maîtrise de audits avec un niveau Débutant.,"Auditeur principal pendant 6 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-05-11,2024-02-18
49,Leroy,Paul,paul.leroy@mail.com,2159401633,Luxembourg,2024-09-05,Master,"Français (C1), Néerlandais (B2)","Niveau Avancé en systèmes de qualité, avec une bonne expertise en affaires réglementaires et compétences Intermédiaire en audits. Connaissances avancées en services de représentation.","3 ans d'expérience chez Robert PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-08-28,2024-04-10
50,Bernard,Jean,jean.bernard@mail.com,6502789295,Luxembourg,2025-03-12,Licence,Français (C1),"Solide expérience en audits, avec un niveau Avancé. Compétences Intermédiaire dans les domaines de systèmes de qualité et ingénierie, ainsi qu'une bonne maîtrise de systèmes de qualité.","3 ans d'expérience chez Robert PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-02-19,2024-04-25
51,Petit,Sophie,sophie.petit@mail.com,5493166049,Suisse,2024-02-15,Master,Allemand (B1),Spécialiste en domaines cliniques et post-marché avec des compétences Débutant et une bonne maîtrise des audits. Expérience Intermédiaire en systèmes de qualité et Débutant en audits.,"3 ans d'expérience chez Dupont PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-09-12,2024-09-17
52,Bernard,Marc,marc.bernard@mail.com,7377005663,Luxembourg,2026-07-22,Doctorat,Anglais (B2),"Solide expérience en services de représentation, avec un niveau Avancé. Compétences Avancé dans les domaines de systèmes de qualité et domaines cliniques et post-marché, ainsi qu'une bonne maîtrise de domaines cliniques et post-marché.","Auditeur principal pendant 6 ans chez Leroy PharmaCorp, où il a dirigé des projets liés à réglementaire, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-04-28,2024-07-10
53,Petit,Louise,louise.petit@mail.com,8302450798,Luxembourg,2026-11-26,Doctorat,"Allemand (B1), Néerlandais (B2), Anglais (B2)","Solide expérience en affaires réglementaires, avec un niveau Avancé. Compétences Avancé dans les domaines de domaines cliniques et post-marché et affaires réglementaires, ainsi qu'une bonne maîtrise de domaines cliniques et post-marché.",Expérience de 6 ans en tant que auditeur principal chez Durand PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-03-27,2024-09-13
54,Dupont,Julie,julie.dupont@mail.com,5223827324,Suisse,2025-02-22,Master,"Espagnol (A2), Anglais (B2)","Niveau Intermédiaire en services de représentation, avec une bonne expertise en ingénierie et compétences Débutant en domaines cliniques et post-marché. Connaissances avancées en systèmes de qualité.","Auditeur principal pendant 5 ans chez Martin PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-05-16,2024-05-04
55,Martin,Jacques,jacques.martin@mail.com,7583619483,France,2026-08-25,Licence,"Anglais (B2), Allemand (B1)","Niveau Intermédiaire en audits, avec une bonne expertise en ingénierie et compétences Intermédiaire en audits. Connaissances avancées en services de représentation.","4 ans chez Bernard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-01-15,2024-07-14
56,Bernard,Lucie,lucie.bernard@mail.com,3667857478,Suisse,2024-08-11,Licence,"Espagnol (A2), Allemand (B1)",Spécialiste en ingénierie avec des compétences Débutant et une bonne maîtrise des audits. Expérience Intermédiaire en ingénierie et Avancé en affaires réglementaires.,"5 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-05-08,2024-04-26
57,Durand,Louise,louise.durand@mail.com,2888683188,Belgique,2024-10-24,Doctorat,"Allemand (B1), Français (C1)","Solide expérience en services de représentation, avec un niveau Débutant. Compétences Avancé dans les domaines de domaines cliniques et post-marché et ingénierie, ainsi qu'une bonne maîtrise de affaires réglementaires.","5 ans chez Petit PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur réglementaire, supervisant des équipes et coordonnant des initiatives internationales.",2024-03-04,2024-02-17
58,Robert,Sophie,sophie.robert@mail.com,1768215318,France,2026-01-06,Doctorat,"Français (C1), Espagnol (A2), Anglais (B2)","Solide expérience en services de représentation, avec un niveau Intermédiaire. Compétences Avancé dans les domaines de domaines cliniques et post-marché et systèmes de qualité, ainsi qu'une bonne maîtrise de systèmes de qualité.","Auditeur principal pendant 10 ans chez Dupont PharmaCorp, où il a dirigé des projets liés à réglementaire, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-07-23,2024-09-07
59,Durand,Marc,marc.durand@mail.com,3247506849,Belgique,2024-03-16,Doctorat,"Néerlandais (B2), Allemand (B1), Espagnol (A2)","Solide expérience en audits, avec un niveau Débutant. Compétences Avancé dans les domaines de systèmes de qualité et ingénierie, ainsi qu'une bonne maîtrise de ingénierie.","Auditeur principal pendant 8 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-10-20,2024-03-09
60,Petit,Marie,marie.petit@mail.com,6291161160,France,2024-08-15,Licence,"Néerlandais (B2), Anglais (B2), Allemand (B1)",Expertise en affaires réglementaires avec un niveau Intermédiaire. Expérience Intermédiaire en ingénierie et compétences Intermédiaire en services de représentation. Bonne maîtrise de domaines cliniques et post-marché avec un niveau Avancé.,"7 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-04-18,2024-02-27
